"Port_Code","Port","Int_Code","Intl_Geography","Group_ID","I_Mode","Value_2010","Weight"
"42660","Seattle-Tacoma-Bellevue","276","Germany","08",4,129.36,2.35
"42660","Seattle-Tacoma-Bellevue","276","Germany","08",5,8.20,0.61
"42660","Seattle-Tacoma-Bellevue","276","Germany","09",3,32.66,0.15
"42660","Seattle-Tacoma-Bellevue","276","Germany","09",4,90.44,0.46
"42660","Seattle-Tacoma-Bellevue","276","Germany","09",5,1.54,0.09
"42660","Seattle-Tacoma-Bellevue","276","Germany","10",3,30.74,3.06
"42660","Seattle-Tacoma-Bellevue","276","Germany","10",4,95.97,0.51
"42660","Seattle-Tacoma-Bellevue","276","Germany","10",5,1642.78,1.69
"42660","Seattle-Tacoma-Bellevue","276","Germany","11",3,3.14,0.09
"42660","Seattle-Tacoma-Bellevue","276","Germany","11",4,142.68,0.62
"42660","Seattle-Tacoma-Bellevue","276","Germany","11",5,4.00,0.02
"42660","Seattle-Tacoma-Bellevue","276","Germany","12",3,3.07,2.60
"42660","Seattle-Tacoma-Bellevue","276","Germany","12",4,15.99,0.10
"42660","Seattle-Tacoma-Bellevue","276","Germany","12",5,23.02,0.24
"42660","Seattle-Tacoma-Bellevue","276","Germany","13",3,1.24,1.39
"42660","Seattle-Tacoma-Bellevue","276","Germany","13",4,0.04,4.96105283209942e-05
"42660","Seattle-Tacoma-Bellevue","276","Germany","16",3,5.98371429849999e-03,6.15384615999999e-04
"42660","Seattle-Tacoma-Bellevue","276","Germany","16",4,0.39,3.039698145e-03
"42660","Seattle-Tacoma-Bellevue","276","Germany","16",5,2.0214819885e-03,2.014535315e-04
"42660","Seattle-Tacoma-Bellevue","276","Germany","17",3,5.92,0.95
"42660","Seattle-Tacoma-Bellevue","276","Germany","17",4,20.32,0.63
"42660","Seattle-Tacoma-Bellevue","276","Germany","17",5,3.05,1.00
"42660","Seattle-Tacoma-Bellevue","356","India","01",3,158.31,329.56
"42660","Seattle-Tacoma-Bellevue","356","India","01",4,0.92,0.13
"42660","Seattle-Tacoma-Bellevue","356","India","01",5,0.18,0.01
"42660","Seattle-Tacoma-Bellevue","356","India","02",3,1.02,13.43
"42660","Seattle-Tacoma-Bellevue","356","India","02",4,2.8054388e-04,3.55528719e-04
"42660","Seattle-Tacoma-Bellevue","356","India","02",5,2.35e-03,2.1957612565445e-03
"42660","Seattle-Tacoma-Bellevue","356","India","03",3,0.97,0.33
"42660","Seattle-Tacoma-Bellevue","356","India","04",3,74.76,33.07
"42660","Seattle-Tacoma-Bellevue","356","India","04",4,0.64,0.03
"42660","Seattle-Tacoma-Bellevue","356","India","04",5,7.676e-03,3.42369565217392e-03
